Chief Complaint
left side weakness
left thigh swelling
left wrist swelling
leg pain
leg pain left
"leg pain, lt."
"leg pain, nos"
"leg pain, rt."
"leg swelling, lt."
light headness
limb paresthesia
lip laceration
llq pain
loc
loc - loss of consciousness
loss of consciousness
low abd discomfort
low abd. pain
low abdominal pain
"low back pain, undetermined"
low hb
lower abdominal pain
lower back pain
lower chest wall pain
lower extremity paraparesis
lt flank pain
lt hemiparesis
lt. hemiparesis
lt. hip joint pain
lt. motor weakness
lt. side weakness
mandibular pain
medication
melena
mental change
mental confusion
midmenstrual pain
mood depression
motor weakness
myalgia
nasal bleeding
nasal injury
nasal swelling
nausea
near syncope
needle stick injury
numbness
"numbness, arm"
occipital area headache
"ocular injury, lt."
ocular pain
"ocular pain, both"
"ocular pain, lt."
"ocular pain, rt."
oliguria
open wound
oral bleeding
orthopnea
"otalgia, lt."
"otalgia, rt."
pain on knee
"pain, ?nus"
"pain, abdomen"
"pain, abdominal"
"pain, ankle"
"pain, arm"
"pain, back"
"pain, chest"
"pain, chest wall"
"pain, chest wall, rt"
"pain, eye"
"pain, facial"
"pain, flank"
"pain, foot"
"pain, hand"
"pain, hip"
"pain, leg"
"pain, low back"
"pain, neck"
"pain, periumbilical"
"pain, shoulder"
"pain, tooth"
painful skin lesion
palpitation
"pelvic pain, lt"
perm cath. malfunction
po medication
post neck pain
post seizure
post-cpr state
pprom
ptbd leaukage
ptbd malfunction
ptx - pneumothorax
"retention, bladder"
right chest pain
right elbow pain
right forearm burn
right forearm laceration
right hemiparesis
right hip pain
right leg injury
right lower abdominal pain
right lower quadrant abdominal pain
right monoparesis
right motor weakness
right nasal bleeding
right ocular pain
right shoulder pain
right side weakness
right upper abdominal pain
rigth side weakness
rlq abd. pain
rlq abdominal pain
rlq pain
rotatory vertigo
rt abd pain
rt flank pain
rt hemiparesis
rt side numbness
rt. chest pain
rt. flank pain
rt. shoulder pain
rt. side motor weakness
rt. side neck pain
rt. side weakness
rt.arm weakness
ruq pain
scalp lac.
scratch wound
scrotal pain
seizure
seizure like activity
"sensory, decreased"
sexual abuse of adult
sexual violence
sezure like motion
"shoulder pain, both"
"shoulder pain, lt"
"shoulder pain, rt"
skin defect
skin eruption
skin rash
sleeping tendency
sorethroat
sudden hearing loss
suicidal attempt
suicidal ideation
suicidal thoughts (finding)
swelling
"swelling, facial"
"swelling, neck"
syncope
tachycardia
testis pain
throat pain
tmj pain
toe injury
toe pain
toe redness
tooth pain
"tooth pain, lt"
toothache
upper abdominal pain
upper back pain
urinary frequency
urinary sx.-symptom
urticarial rash
v - vomiting
vaginal bleeding
vaginal discharge
vaginal spotting
visual disturbance
voice changes
voiding difficulty
voiding failure
voiding pain
vomiting
watery diarrhea
weakness
whirling type vertigo
"whole body, skin rash"
with chest discomfort
wrist injury
wrist laceration
"wrist pain, lt"
"wrist pain, rt"
